Epoch: 0 / 2000, Loss: 0.04966906098305622, Duration: 7.668900700s
Epoch: 1 / 2000, Loss: 0.050063924418498315, Duration: 6.088967700s
Epoch: 2 / 2000, Loss: 0.05136207248758194, Duration: 5.938515400s
Epoch: 3 / 2000, Loss: 0.05271337387579015, Duration: 6.109273300s
Epoch: 4 / 2000, Loss: 0.045704601295764986, Duration: 6.116527200s
Epoch: 5 / 2000, Loss: 0.04318662301688058, Duration: 5.969396s
Epoch: 6 / 2000, Loss: 0.049110008921036286, Duration: 6.076269600s
Epoch: 7 / 2000, Loss: 0.04926024104874724, Duration: 6.012431100s
Epoch: 8 / 2000, Loss: 0.04886346558779173, Duration: 5.995586900s
Epoch: 9 / 2000, Loss: 0.03898110736272408, Duration: 6.033746700s
Epoch: 10 / 2000, Loss: 0.05217819762645587, Duration: 6.062045100s
Epoch: 11 / 2000, Loss: 0.0436949472247485, Duration: 5.987625100s
Epoch: 12 / 2000, Loss: 0.036775465510409194, Duration: 6.046370s
Epoch: 13 / 2000, Loss: 0.04647347851719418, Duration: 6.080786200s
Epoch: 14 / 2000, Loss: 0.04938733785651805, Duration: 6.065979300s
Epoch: 15 / 2000, Loss: 0.045913302822631064, Duration: 6.022826800s
Epoch: 16 / 2000, Loss: 0.05318891934822283, Duration: 6.066877700s
Epoch: 17 / 2000, Loss: 0.05779733383500619, Duration: 6.077529400s
Epoch: 18 / 2000, Loss: 0.058511831053635804, Duration: 6.064904800s
Epoch: 19 / 2000, Loss: 0.04810546138705859, Duration: 6.049824300s
Epoch: 20 / 2000, Loss: 0.04203684175701612, Duration: 6.058430800s
Epoch: 21 / 2000, Loss: 0.049069797517304996, Duration: 6.009125500s
Epoch: 22 / 2000, Loss: 0.047904571122077966, Duration: 6.029621s
Epoch: 23 / 2000, Loss: 0.045983670997592825, Duration: 6.079685100s
Epoch: 24 / 2000, Loss: 0.049193380312588, Duration: 5.983312500s
Epoch: 25 / 2000, Loss: 0.04523095255967387, Duration: 6.084057600s
Epoch: 26 / 2000, Loss: 0.049492050663724155, Duration: 6.110233400s
Epoch: 27 / 2000, Loss: 0.04874065216314498, Duration: 5.974376900s
Epoch: 28 / 2000, Loss: 0.0486673167667004, Duration: 6.084880700s
