Epoch: 0 / 2000, Loss: 0.17515426470402953, Duration: 6.747843500s
Epoch: 1 / 2000, Loss: 0.17749808102373435, Duration: 5.703641100s
Epoch: 2 / 2000, Loss: 0.17779708355197585, Duration: 5.677073300s
Epoch: 3 / 2000, Loss: 0.17892939375955502, Duration: 5.617393600s
Epoch: 4 / 2000, Loss: 0.17567610705126127, Duration: 5.655058900s
Epoch: 5 / 2000, Loss: 0.176526999019972, Duration: 5.699116300s
Epoch: 6 / 2000, Loss: 0.17604726621305924, Duration: 5.677384s
Epoch: 7 / 2000, Loss: 0.17745090456607085, Duration: 5.639002400s
Epoch: 8 / 2000, Loss: 0.17652903555598456, Duration: 5.727289500s
Epoch: 9 / 2000, Loss: 0.17626107539519173, Duration: 5.691801500s
Epoch: 10 / 2000, Loss: 0.17637458351032018, Duration: 5.962430900s
Epoch: 11 / 2000, Loss: 0.17535523182365048, Duration: 5.703239200s
Epoch: 12 / 2000, Loss: 0.174002638497327, Duration: 5.668106600s
Epoch: 13 / 2000, Loss: 0.17411951623493482, Duration: 5.648629100s
Epoch: 14 / 2000, Loss: 0.17577055532316335, Duration: 5.769631900s
Epoch: 15 / 2000, Loss: 0.17739931659321903, Duration: 5.698305100s
Epoch: 16 / 2000, Loss: 0.1750421840519808, Duration: 5.631614800s
Epoch: 17 / 2000, Loss: 0.17725623114011146, Duration: 5.679188700s
Epoch: 18 / 2000, Loss: 0.17675929035370622, Duration: 5.704054200s
Epoch: 19 / 2000, Loss: 0.1750148975139281, Duration: 5.662599s
Epoch: 20 / 2000, Loss: 0.17730433688824943, Duration: 5.726768400s
Epoch: 21 / 2000, Loss: 0.17529737139911444, Duration: 5.678087800s
Epoch: 22 / 2000, Loss: 0.1756993875575806, Duration: 5.676250600s
Epoch: 23 / 2000, Loss: 0.17697764999298232, Duration: 5.588510600s
Epoch: 24 / 2000, Loss: 0.1765826735840121, Duration: 5.684303100s
Epoch: 25 / 2000, Loss: 0.17659870737793285, Duration: 5.721972100s
