Epoch: 0 / 2000, Loss: 0.17897142727644927, Duration: 7.328455500s
Epoch: 1 / 2000, Loss: 0.17927101394252795, Duration: 6.297530700s
Epoch: 2 / 2000, Loss: 0.17676414392497533, Duration: 6.215768900s
Epoch: 3 / 2000, Loss: 0.17764454561894627, Duration: 6.259259200s
Epoch: 4 / 2000, Loss: 0.17199700984248942, Duration: 6.270744800s
Epoch: 5 / 2000, Loss: 0.17555975713617933, Duration: 6.265585500s
Epoch: 6 / 2000, Loss: 0.17673336432107414, Duration: 6.250950300s
Epoch: 7 / 2000, Loss: 0.1674424861470574, Duration: 6.223708400s
Epoch: 8 / 2000, Loss: 0.1715113757664883, Duration: 6.178223600s
Epoch: 9 / 2000, Loss: 0.16838970712384657, Duration: 6.234986s
Epoch: 10 / 2000, Loss: 0.17487889596407227, Duration: 6.258881s
Epoch: 11 / 2000, Loss: 0.16256947519446982, Duration: 6.197183100s
Epoch: 12 / 2000, Loss: 0.17136602954302055, Duration: 6.251831500s
Epoch: 13 / 2000, Loss: 0.17165051264443384, Duration: 6.232333900s
Epoch: 14 / 2000, Loss: 0.16193418729566136, Duration: 6.195269200s
Epoch: 15 / 2000, Loss: 0.1660619598123945, Duration: 6.205358200s
Epoch: 16 / 2000, Loss: 0.16340924336921323, Duration: 6.228108s
Epoch: 17 / 2000, Loss: 0.1577736958830192, Duration: 6.248258500s
Epoch: 18 / 2000, Loss: 0.15664950711559944, Duration: 6.235388700s
Epoch: 19 / 2000, Loss: 0.16201005130016066, Duration: 6.253579100s
Epoch: 20 / 2000, Loss: 0.1646289340255738, Duration: 6.182918600s
Epoch: 21 / 2000, Loss: 0.1548702930572594, Duration: 6.239395700s
Epoch: 22 / 2000, Loss: 0.1618253472354996, Duration: 6.250956900s
Epoch: 23 / 2000, Loss: 0.1585358454225287, Duration: 6.175913700s
Epoch: 24 / 2000, Loss: 0.1622440218971336, Duration: 6.327440400s
Epoch: 25 / 2000, Loss: 0.15811336555494543, Duration: 6.326464300s
Epoch: 26 / 2000, Loss: 0.15166865750254774, Duration: 6.345957700s
Epoch: 27 / 2000, Loss: 0.15362378425473752, Duration: 7.049956s
Epoch: 28 / 2000, Loss: 0.14895218635430424, Duration: 6.615721800s
Epoch: 29 / 2000, Loss: 0.1468043223188687, Duration: 6.300477400s
Epoch: 30 / 2000, Loss: 0.1514983221962553, Duration: 6.222482300s
Epoch: 31 / 2000, Loss: 0.15002257640873237, Duration: 6.357995300s
Epoch: 32 / 2000, Loss: 0.15341834922409184, Duration: 6.220934500s
Epoch: 33 / 2000, Loss: 0.14699261408511682, Duration: 6.245845400s
Epoch: 34 / 2000, Loss: 0.14890860308670514, Duration: 6.263953800s
Epoch: 35 / 2000, Loss: 0.14922793806243845, Duration: 6.243986900s
Epoch: 36 / 2000, Loss: 0.13467255267261927, Duration: 6.249806s
Epoch: 37 / 2000, Loss: 0.14105827282398628, Duration: 6.275160400s
Epoch: 38 / 2000, Loss: 0.1451931826603742, Duration: 6.166257200s
Epoch: 39 / 2000, Loss: 0.1427468615868616, Duration: 6.230065500s
Epoch: 40 / 2000, Loss: 0.14643976319766805, Duration: 6.290238400s
Epoch: 41 / 2000, Loss: 0.13772948857371767, Duration: 6.247159900s
Epoch: 42 / 2000, Loss: 0.1319412216026704, Duration: 6.281358200s
Epoch: 43 / 2000, Loss: 0.14358051526722526, Duration: 6.244478800s
Epoch: 44 / 2000, Loss: 0.13989021020263687, Duration: 6.207162500s
Epoch: 45 / 2000, Loss: 0.1286257337342615, Duration: 6.284163900s
Epoch: 46 / 2000, Loss: 0.14258662772538827, Duration: 6.278052100s
Epoch: 47 / 2000, Loss: 0.1409250851348955, Duration: 6.245500500s
Epoch: 48 / 2000, Loss: 0.14137142393519103, Duration: 6.253228100s
Epoch: 49 / 2000, Loss: 0.11874693255093736, Duration: 6.280733900s
Epoch: 50 / 2000, Loss: 0.13692100369970583, Duration: 6.249151900s
Epoch: 51 / 2000, Loss: 0.11851727266346244, Duration: 6.255113600s
Epoch: 52 / 2000, Loss: 0.12559849252511296, Duration: 6.305873500s
Epoch: 53 / 2000, Loss: 0.13789186613493154, Duration: 6.187256200s
Epoch: 54 / 2000, Loss: 0.13037734911908802, Duration: 6.255282100s
Epoch: 55 / 2000, Loss: 0.12679000144224337, Duration: 6.210415600s
Epoch: 56 / 2000, Loss: 0.13199989612940083, Duration: 6.170213900s
Epoch: 57 / 2000, Loss: 0.1293024718306473, Duration: 6.234055700s
Epoch: 58 / 2000, Loss: 0.11322173078872785, Duration: 6.238040300s
Epoch: 59 / 2000, Loss: 0.1364874715816388, Duration: 6.244779800s
Epoch: 60 / 2000, Loss: 0.13353137148341396, Duration: 6.249684700s
Epoch: 61 / 2000, Loss: 0.12171184586952599, Duration: 6.277071600s
Epoch: 62 / 2000, Loss: 0.11407165225472216, Duration: 6.290156800s
Epoch: 63 / 2000, Loss: 0.12068956946575268, Duration: 6.255687300s
Epoch: 64 / 2000, Loss: 0.1114948096002738, Duration: 6.263770500s
Epoch: 65 / 2000, Loss: 0.12097841128213341, Duration: 6.244276500s
Epoch: 66 / 2000, Loss: 0.12879768325579927, Duration: 6.212636200s
Epoch: 67 / 2000, Loss: 0.11933412304353869, Duration: 6.413337800s
Epoch: 68 / 2000, Loss: 0.12724733554846065, Duration: 6.242153s
Epoch: 69 / 2000, Loss: 0.12088166089391338, Duration: 6.285141700s
Epoch: 70 / 2000, Loss: 0.1190870617913319, Duration: 6.183894100s
Epoch: 71 / 2000, Loss: 0.12245754157474989, Duration: 6.295775500s
Epoch: 72 / 2000, Loss: 0.11961189573519937, Duration: 6.276283900s
