Epoch: 0 / 500, Loss: 0.04535195779201179, Duration: 7.253309s
Epoch: 1 / 500, Loss: 0.0482862692864758, Duration: 6.356781500s
Epoch: 2 / 500, Loss: 0.04134059275108091, Duration: 6.280404s
Epoch: 3 / 500, Loss: 0.045723495888475234, Duration: 6.371624s
Epoch: 4 / 500, Loss: 0.05107046956847538, Duration: 6.379648500s
Epoch: 5 / 500, Loss: 0.0398149644481081, Duration: 6.312028100s
Epoch: 6 / 500, Loss: 0.03788537546244875, Duration: 6.338264700s
Epoch: 7 / 500, Loss: 0.040737336190910016, Duration: 6.406170s
Epoch: 8 / 500, Loss: 0.042052131901490694, Duration: 6.287520900s
Epoch: 9 / 500, Loss: 0.04117703328813212, Duration: 6.349935600s
Epoch: 10 / 500, Loss: 0.05745598276909359, Duration: 6.395667600s
Epoch: 11 / 500, Loss: 0.03955921380126108, Duration: 6.295342300s
Epoch: 12 / 500, Loss: 0.03916046786939361, Duration: 6.350883600s
Epoch: 13 / 500, Loss: 0.04269637557554242, Duration: 6.356377100s
Epoch: 14 / 500, Loss: 0.04293736186245008, Duration: 6.309650500s
Epoch: 15 / 500, Loss: 0.04145043824262951, Duration: 6.317658400s
Epoch: 16 / 500, Loss: 0.04891769546208169, Duration: 6.299737700s
Epoch: 17 / 500, Loss: 0.051258256828316445, Duration: 6.324499200s
Epoch: 18 / 500, Loss: 0.0427142119619418, Duration: 6.359177500s
Epoch: 19 / 500, Loss: 0.05142919290518161, Duration: 6.365481800s
Epoch: 20 / 500, Loss: 0.050057450031583135, Duration: 6.258190900s
Epoch: 21 / 500, Loss: 0.04346063252306754, Duration: 6.359027600s
Epoch: 22 / 500, Loss: 0.04181818644569415, Duration: 6.363470500s
Epoch: 23 / 500, Loss: 0.048990606252191954, Duration: 6.368006800s
Epoch: 24 / 500, Loss: 0.04682785586068348, Duration: 6.272947700s
Epoch: 25 / 500, Loss: 0.040646374671219156, Duration: 6.371258800s
Epoch: 26 / 500, Loss: 0.04059738217286168, Duration: 6.332931100s
Epoch: 27 / 500, Loss: 0.03979574350992883, Duration: 6.336028300s
Epoch: 28 / 500, Loss: 0.03987276281812353, Duration: 6.359274200s
Epoch: 29 / 500, Loss: 0.051353267082078304, Duration: 6.323693100s
Epoch: 30 / 500, Loss: 0.05362159526892521, Duration: 6.278492s
Epoch: 31 / 500, Loss: 0.038413461896334704, Duration: 6.362182500s
Epoch: 32 / 500, Loss: 0.046377151651821505, Duration: 6.331832800s
Epoch: 33 / 500, Loss: 0.04339209111876939, Duration: 6.261905900s
Epoch: 34 / 500, Loss: 0.049670620496247216, Duration: 6.376104700s
Epoch: 35 / 500, Loss: 0.03772786712032871, Duration: 6.253830800s
Epoch: 36 / 500, Loss: 0.04424778694512911, Duration: 6.271943900s
Epoch: 37 / 500, Loss: 0.038585283930401885, Duration: 6.475141200s
