Epoch: 0 / 2000, Loss: 0.18531192146501593, Duration: 4.995359600s
Epoch: 1 / 2000, Loss: 0.1789688057604657, Duration: 3.806397600s
Epoch: 2 / 2000, Loss: 0.17082182989541914, Duration: 3.849333800s
Epoch: 3 / 2000, Loss: 0.18156464490717458, Duration: 3.828181s
Epoch: 4 / 2000, Loss: 0.1795581482355631, Duration: 3.833141900s
Epoch: 5 / 2000, Loss: 0.173385713385065, Duration: 3.845189s
Epoch: 6 / 2000, Loss: 0.17747087144859808, Duration: 3.803727900s
Epoch: 7 / 2000, Loss: 0.1777184366423489, Duration: 3.859560100s
Epoch: 8 / 2000, Loss: 0.18616889696523195, Duration: 3.837733200s
Epoch: 9 / 2000, Loss: 0.17405003168151176, Duration: 3.828665600s
Epoch: 10 / 2000, Loss: 0.1797785944207093, Duration: 3.835799300s
Epoch: 11 / 2000, Loss: 0.17923462556408687, Duration: 3.786767900s
Epoch: 12 / 2000, Loss: 0.1809871516007783, Duration: 3.789855700s
Epoch: 13 / 2000, Loss: 0.17722034487506627, Duration: 3.830328900s
Epoch: 14 / 2000, Loss: 0.1727215903009389, Duration: 3.829304800s
Epoch: 15 / 2000, Loss: 0.17958464103398036, Duration: 3.837893s
Epoch: 16 / 2000, Loss: 0.17405488683161363, Duration: 3.826949300s
Epoch: 17 / 2000, Loss: 0.1766865663889095, Duration: 3.845832800s
Epoch: 18 / 2000, Loss: 0.1745941273648034, Duration: 3.785364600s
Epoch: 19 / 2000, Loss: 0.17617359161526921, Duration: 3.805399300s
Epoch: 20 / 2000, Loss: 0.16561162676979188, Duration: 3.828221400s
Epoch: 21 / 2000, Loss: 0.1708970136366632, Duration: 3.846085s
Epoch: 22 / 2000, Loss: 0.16494119011249547, Duration: 3.848682900s
Epoch: 23 / 2000, Loss: 0.1808995637826111, Duration: 3.787896300s
Epoch: 24 / 2000, Loss: 0.1610716184407767, Duration: 3.828260200s
Epoch: 25 / 2000, Loss: 0.17927095214909539, Duration: 3.813960600s
Epoch: 26 / 2000, Loss: 0.17244290004033147, Duration: 3.855011100s
Epoch: 27 / 2000, Loss: 0.17034150148818347, Duration: 3.805532s
Epoch: 28 / 2000, Loss: 0.18305641040345386, Duration: 3.768382100s
Epoch: 29 / 2000, Loss: 0.16228835738996814, Duration: 3.840966100s
Epoch: 30 / 2000, Loss: 0.15135525543145711, Duration: 3.822452900s
Epoch: 31 / 2000, Loss: 0.16689110111990518, Duration: 3.802819100s
Epoch: 32 / 2000, Loss: 0.1648921333384787, Duration: 3.849642700s
Epoch: 33 / 2000, Loss: 0.1620983810913798, Duration: 3.790197300s
Epoch: 34 / 2000, Loss: 0.16588039651516476, Duration: 3.841846300s
Epoch: 35 / 2000, Loss: 0.16219030537006215, Duration: 3.782390400s
Epoch: 36 / 2000, Loss: 0.17464164096016188, Duration: 3.869954400s
Epoch: 37 / 2000, Loss: 0.158214443331912, Duration: 3.801904400s
Epoch: 38 / 2000, Loss: 0.1573381120670212, Duration: 3.796898200s
Epoch: 39 / 2000, Loss: 0.16506111658908845, Duration: 3.852106200s
Epoch: 40 / 2000, Loss: 0.16218370760698977, Duration: 3.805276100s
Epoch: 41 / 2000, Loss: 0.16812276050987912, Duration: 3.857000700s
Epoch: 42 / 2000, Loss: 0.17665996451604646, Duration: 3.841055800s
Epoch: 43 / 2000, Loss: 0.15570413242439027, Duration: 3.751781800s
Epoch: 44 / 2000, Loss: 0.1646287579464386, Duration: 3.863921s
Epoch: 45 / 2000, Loss: 0.1729096594674855, Duration: 3.848599s
Epoch: 46 / 2000, Loss: 0.16584348665772863, Duration: 3.859539200s
Epoch: 47 / 2000, Loss: 0.1572036748609017, Duration: 3.820877500s
Epoch: 48 / 2000, Loss: 0.149900186030672, Duration: 3.796862700s
Epoch: 49 / 2000, Loss: 0.1604292029399434, Duration: 3.846289s
Epoch: 50 / 2000, Loss: 0.16225196128175873, Duration: 3.779344600s
Epoch: 51 / 2000, Loss: 0.16902472663686446, Duration: 3.851834600s
Epoch: 52 / 2000, Loss: 0.14295698766089113, Duration: 3.791251400s
Epoch: 53 / 2000, Loss: 0.16339415661052542, Duration: 3.780429400s
Epoch: 54 / 2000, Loss: 0.1552307138673055, Duration: 3.780969700s
Epoch: 55 / 2000, Loss: 0.16749016010218715, Duration: 3.807103s
Epoch: 56 / 2000, Loss: 0.1508330374693058, Duration: 3.846201900s
Epoch: 57 / 2000, Loss: 0.15073091079026027, Duration: 3.801358500s
Epoch: 58 / 2000, Loss: 0.15224328068614126, Duration: 3.818084700s
Epoch: 59 / 2000, Loss: 0.16102170644669866, Duration: 3.851054600s
Epoch: 60 / 2000, Loss: 0.1496223370274147, Duration: 3.849610800s
Epoch: 61 / 2000, Loss: 0.1499048539746336, Duration: 3.865268900s
Epoch: 62 / 2000, Loss: 0.15179792143568688, Duration: 3.761340100s
Epoch: 63 / 2000, Loss: 0.1585658214716627, Duration: 3.819893500s
Epoch: 64 / 2000, Loss: 0.1473783764836977, Duration: 3.801474700s
